cd,name,lat,lng,type
1120427,千畳敷,40.767769,140.054832,1
1120428,北金ケ沢,40.745995,140.095052,1
1120429,陸奥柳田,40.740616,140.123243,1
1120430,陸奥赤石,40.76156,140.162057,1
1120431,鰺ケ沢,40.775255,140.220589,1
1120432,鳴沢,40.782189,140.267617,1
1120433,越水,40.787258,140.298628,1
1120434,陸奥森田,40.781738,140.339033,1
1120435,中田,40.787424,140.364505,1
1120436,木造,40.802482,140.387775,1
1120437,五所川原,40.809124,140.44776,1
1120438,陸奥鶴田,40.757544,140.435276,1
1120439,鶴泊,40.736026,140.437616,1
1120440,板柳,40.69726,140.461785,1
1120441,林崎,40.675355,140.480401,1
1120442,藤崎,40.654047,140.499531,1
1120502,油川,40.857035,140.690476,1
1120503,津軽宮田,40.887184,140.674579,1
1120504,奥内,40.903044,140.672382,1
1120505,左堰,40.917214,140.665929,1
1120506,後潟,40.931519,140.662734,1
1120507,中沢,40.949044,140.656244,1
1120508,蓬田,40.969042,140.654533,1
1120509,郷沢,40.987682,140.652399,1
1120510,瀬辺地,41.007869,140.648179,1
1120511,蟹田,41.038274,140.642565,1
1120513,大平,41.065866,140.559375,1
1120514,津軽二股,41.145937,140.514231,1
1120515,大川平,41.163204,140.507592,1
1120516,今別,41.179741,140.490448,1
1120517,津軽浜名,41.180521,140.47185,1
1120518,三厩,41.185404,140.444482,1
1120602,長苗代,40.52146,141.465907,1
1120603,本八戸,40.516286,141.488762,1
1120604,小中野,40.518767,141.510032,1
1120605,陸奥湊,40.52335,141.527652,1
1120701,茂市,39.620619,141.799288,1
1120606,白銀,40.522031,141.541648,1
1120607,鮫,40.530244,141.554891,1
1120609,陸奥白浜,40.516636,141.592299,1
1120610,種差海岸,40.506951,141.607367,1
1120611,大久喜,40.495135,141.622958,1
1120612,金浜,40.475994,141.637366,1
1120613,大蛇,40.467251,141.650773,1
1120614,階上,40.456834,141.664958,1
1120615,角の浜,40.444478,141.681773,1
1120616,平内,40.42552,141.699272,1
1120617,種市,40.410384,141.715232,1
1120618,玉川,40.380424,141.735117,1
1120619,宿戸,40.366129,141.746683,1
1120620,陸中八木,40.345485,141.766517,1
1120621,有家,40.324007,141.773031,1
1120622,陸中中野,40.305165,141.787768,1
1120623,侍浜,40.261375,141.760575,1
1120624,陸中夏井,40.207747,141.791906,1
1120625,久慈,40.190391,141.770891,1
1120802,真滝,38.908239,141.17793,1
1120803,陸中門崎,38.916908,141.251226,1
1120804,岩ノ下,38.947699,141.245342,1
1120805,陸中松川,38.977237,141.238046,1
1120806,猊鼻渓,38.988939,141.25327,1
1120807,柴宿,38.996719,141.272312,1
1120808,摺沢,38.99593,141.32146,1
1120809,千厩,38.924873,141.34563,1
1120810,小梨,38.932493,141.38418,1
1120811,矢越,38.935224,141.429029,1
1120812,折壁,38.939428,141.452346,1
1120813,新月,38.915598,141.488796,1
1120814,気仙沼,38.910031,141.558893,1
1120815,鹿折唐桑,38.915555,141.579457,1
1120816,上鹿折,38.960661,141.568232,1
1120817,陸前矢作,39.022554,141.579357,1
1120818,竹駒,39.033651,141.609729,1
1120819,陸前高田,39.013021,141.625332,1
1120820,脇ノ沢,39.006584,141.657359,1
1120821,小友,38.989242,141.699573,1
1120822,細浦,39.015973,141.713642,1
1120823,下船渡,39.038362,141.721222,1
1120824,大船渡,39.063529,141.720807,1
1120825,盛,39.086372,141.710734,1
1120902,似内,39.406819,141.140889,1
1120903,新花巻,39.405839,141.17302,1
1120904,小山田,39.4086,141.193999,1
1120905,土沢,39.383381,141.232488,1
1120906,晴山,39.366617,141.257892,1
